best_callsign,best_field_strength,best_distance_km,stations_above_threshold,covered,city,state_id,lat,lng,population,county_name
WXJ-57,87.74,5.66,1,True,South Bend,IN,41.6771,-86.269,279698.0,St. Joseph
WXK-74,70.43,17.45,1,True,West Lafayette,IN,40.4432,-86.9239,45872.0,Tippecanoe
KWO-39,71.18,27.12,3,True,Dyer,IN,41.4977,-87.5088,15941.0,Lake
KZZ-27,67.88,13.35,2,True,Clinton,IN,39.6607,-87.4046,6294.0,Vermillion
KEC-74,81.05,12.27,2,True,Greenfield,IN,39.7937,-85.7739,21709.0,Hancock
KEC-74,72.99,20.2,1,True,Plainfield,IN,39.7005,-86.3726,31409.0,Hendricks
KZZ-36,80.19,5.02,2,True,Syracuse,IN,41.4215,-85.749,7085.0,Kosciusko
WXJ-58,78.46,15.82,2,True,Columbia City,IN,41.1611,-85.4854,9342.0,Whitley
WNG-689,64.38,12.79,3,True,Lowell,IN,41.2934,-87.4183,10102.0,Lake
WXJ-58,55.4,31.18,1,True,North Manchester,IN,41.0044,-85.775,5829.0,Wabash
WXJ-58,62.99,24.96,1,True,Bluffton,IN,40.7426,-85.173,10052.0,Wells
WXK-74,76.05,9.25,1,True,Monticello,IN,40.7455,-86.7668,8445.0,White
WXJ-58,94.25,2.69,1,True,Fort Wayne,IN,41.0885,-85.1436,326814.0,Allen
KEC-74,74.82,20.67,2,True,Avon,IN,39.7604,-86.3916,16960.0,Hendricks
KEC-74,46.79,32.6,0,False,Martinsville,IN,39.4228,-86.4207,13097.0,Morgan
KEC-74,77.33,18.84,1,True,Bargersville,IN,39.5414,-86.2004,7213.0,Johnson
KWO-39,71.94,24.83,4,True,Gary,IN,41.5906,-87.3472,76424.0,Lake
WXK-74,52.12,25.49,1,True,Frankfort,IN,40.2799,-86.5181,16205.0,Clinton
WXK-74,38.61,33.82,0,False,Peru,IN,40.7585,-86.0715,12686.0,Miami
WXM-78,76.06,7.1,1,True,Ellettsville,IN,39.2308,-86.6221,6622.0,Monroe
WXM-98,89.18,2.6,2,True,Marion,IN,40.5497,-85.66,41550.0,Grant
KJY-62,71.01,16.22,3,True,Chesterton,IN,41.5995,-87.0549,13441.0,Porter
KEC-74,76.44,19.92,2,True,Westfield,IN,40.0314,-86.1539,37221.0,Hamilton
KXI-94,92.6,3.21,1,True,Angola,IN,41.6431,-85.005,11169.0,Steuben
WNG-689,74.81,11.09,3,True,Valparaiso,IN,41.4796,-87.0528,33104.0,Porter
WXJ-58,64.47,22.5,1,True,Huntington,IN,40.8812,-85.5062,17982.0,Huntington
WXK-72,73.97,13.03,2,True,Brazil,IN,39.5232,-87.1244,8110.0,Clay
WNG-689,78.41,5.56,2,True,Winfield,IN,41.4097,-87.2623,5560.0,Lake
WXJ-57,80.45,13.12,1,True,Elkhart,IN,41.6919,-85.962,147181.0,Elkhart
