,best_callsign,best_field_strength,best_distance_km,stations_above_threshold,covered,city,state_id,lat,lng,population,county_name,county_name_clean,rurality_multiplier,hazard_multiplier,access_multiplier,coastal_flood_count,wildfire_count,hurricane_count,tornado_count,coastal_flood_count_pct,wildfire_count_pct,hurricane_count_pct,tornado_count_pct,event_exposure_score,gap_depth,combined_multiplier,priority_score
17,WWG-21,32.12,25.45,0,False,San Clemente,CA,33.4498,-117.6103,65309.0,Orange,Orange,1.0,1.8428894962022424,1.0906002420326477,0,20,0,0,0.42684954280964255,0.9055486284289277,0.4553200332502078,0.13528678304239403,0.480751246882793,17.880000000000003,1.2872276117645816,1503127.7599695872
18,WXM-73,35.11,37.79,0,False,Harrisonburg,VA,38.4362,-78.8735,72470.0,Harrisonburg (city),Harrisonburg,1.25,1.3237180387136482,1.0934,0,8,0,0,0.42684954280964255,0.8170199501246883,0.4553200332502078,0.13528678304239403,0.4586190773067332,14.89,1.224497858065738,1321329.0670352178
19,WXM-42,42.94,33.18,0,False,Frederick,MD,39.4334,-77.4154,152047.0,Frederick,Frederick,1.0,1.6665036676755947,1.0715446153846153,0,1,0,2,0.42684954280964255,0.6357024106400665,0.4553200332502078,0.44305901911886947,0.4902327514546966,7.060000000000002,1.2270917794031415,1317223.9039073412
20,KXI-83,9.02,158.0,0,False,Yucca Valley,CA,34.1231,-116.4215,24899.0,San Bernardino,San Bernardino,1.0,1.79703982331068,1.091445912090586,0,0,0,0,0.42684954280964255,0.2912510390689942,0.4553200332502078,0.13528678304239403,0.3271768495428097,40.980000000000004,1.2733802262773126,1299307.5465321497
21,WXL-39,33.86,33.19,0,False,East Stroudsburg,PA,41.0023,-75.1779,56230.0,Monroe,Monroe,1.375,1.7562475213048803,1.0917254901960785,0,8,0,2,0.42684954280964255,0.8170199501246883,0.4553200332502078,0.44305901911886947,0.535562136325852,16.14,1.405145542000295,1275242.9279625602
22,KEC-78,26.36,24.25,0,False,Pleasant Grove,UT,40.3714,-111.7411,38756.0,Utah,Utah,1.125,1.765424047229255,1.0592662337662337,0,0,0,0,0.42684954280964255,0.2912510390689942,0.4553200332502078,0.13528678304239403,0.3271768495428097,23.64,1.3018277787678427,1192723.9879924227
23,WXM-66,36.5,38.24,0,False,Lake Elsinore,CA,33.6847,-117.3346,64205.0,Riverside,Riverside,1.0,1.797485115931545,1.0985074093233174,0,0,0,0,0.42684954280964255,0.2912510390689942,0.4553200332502078,0.13528678304239403,0.3271768495428097,13.5,1.275690007770727,1105726.6388104137
24,KWN-36,32.53,28.76,0,False,Uniontown,PA,39.8994,-79.7244,49241.0,Fayette,Fayette,1.0,1.6736937673310361,1.1112055555555556,0,0,0,0,0.42684954280964255,0.2912510390689942,0.4553200332502078,0.13528678304239403,0.3271768495428097,17.47,1.241507483965105,1067994.7332131625
25,WWF-67,33.13,35.53,0,False,Oroville,CA,39.5,-121.5647,45445.0,Butte,Butte,1.25,1.7935873976001473,1.1053444444444445,0,6,0,0,0.42684954280964255,0.7973815461346634,0.4553200332502078,0.13528678304239403,0.453709476309227,16.869999999999997,1.3727482590906435,1052427.267981894
26,WXJ-48,36.87,40.53,0,False,Hot Springs,AR,34.4915,-93.0488,57744.0,Garland,Garland,1.25,1.7808096052806914,1.12788,0,0,0,9,0.42684954280964255,0.2912510390689942,0.4553200332502078,0.9014962593516209,0.5187292186201165,13.130000000000003,1.3757506477786743,1043064.8651720064
27,KHB-49,29.51,13.49,0,False,Pacifica,CA,37.6112,-122.4781,39062.0,San Mateo,San Mateo,1.0,1.8825149673526107,1.0825732558139536,42,77,0,0,0.9670615128844555,0.9471113881961762,0.4553200332502078,0.13528678304239403,0.6261949293433083,20.49,1.296950222512789,1038053.5119358704
28,WXM-66,40.95,37.49,0,False,Menifee,CA,33.6909,-117.1849,88531.0,Riverside,Riverside,1.0,1.797485115931545,1.0985074093233174,0,0,0,0,0.42684954280964255,0.2912510390689942,0.4553200332502078,0.13528678304239403,0.3271768495428097,9.049999999999997,1.275690007770727,1022089.9143054491
29,KHB-43,42.05,29.28,0,False,Slidell,LA,30.2881,-89.7828,94320.0,St. Tammany,St. Tammany,1.125,1.8347135500942302,1.095896551724138,0,0,3,2,0.42684954280964255,0.2912510390689942,0.9556317539484622,0.44305901911886947,0.5291978387364922,7.950000000000003,1.3344184928671903,1000605.7003655058
30,WXJ-46,41.46,33.42,0,False,Springfield,OH,39.9304,-83.7961,83115.0,Clark,Clark,1.25,1.6809586839199708,1.1089155555555557,0,0,0,5,0.42684954280964255,0.2912510390689942,0.4553200332502078,0.7100997506234414,0.4708800914380715,8.54,1.3391920736847776,950561.3462048098
31,WXM-69,31.26,19.28,0,False,Portsmouth,OH,38.7539,-82.9446,36584.0,Scioto,Scioto,1.375,1.6205073551807503,1.1146095238095237,0,0,0,3,0.42684954280964255,0.2912510390689942,0.4553200332502078,0.545303408146301,0.42968100581878643,18.74,1.3704205781508536,939538.6409182672
32,WXL-85,37.89,14.08,0,False,Grants Pass,OR,42.4334,-123.3318,55265.0,Josephine,Josephine,1.25,1.8156173457894704,1.1225181818181817,1,436,0,0,0.8633624272651704,0.9989609310058188,0.4553200332502078,0.13528678304239403,0.6132325436408977,12.11,1.3848109315715855,926797.3869743075
